	number_of_elements	mean_atomic_mass	wtd_mean_atomic_mass	gmean_atomic_mass	wtd_gmean_atomic_mass	entropy_atomic_mass	wtd_entropy_atomic_mass	range_atomic_mass	wtd_range_atomic_mass	std_atomic_mass	wtd_std_atomic_mass	mean_fie	wtd_mean_fie	gmean_fie	wtd_gmean_fie	entropy_fie	wtd_entropy_fie	range_fie	wtd_range_fie	std_fie	wtd_std_fie	mean_atomic_radius	wtd_mean_atomic_radius	gmean_atomic_radius	wtd_gmean_atomic_radius	entropy_atomic_radius	wtd_entropy_atomic_radius	range_atomic_radius	wtd_range_atomic_radius	std_atomic_radius	wtd_std_atomic_radius	mean_Density	wtd_mean_Density	gmean_Density	wtd_gmean_Density	entropy_Density	wtd_entropy_Density	range_Density	wtd_range_Density	std_Density	wtd_std_Density	mean_ElectronAffinity	wtd_mean_ElectronAffinity	gmean_ElectronAffinity	wtd_gmean_ElectronAffinity	entropy_ElectronAffinity	wtd_entropy_ElectronAffinity	range_ElectronAffinity	wtd_range_ElectronAffinity	std_ElectronAffinity	wtd_std_ElectronAffinity	mean_FusionHeat	wtd_mean_FusionHeat	gmean_FusionHeat	wtd_gmean_FusionHeat	entropy_FusionHeat	wtd_entropy_FusionHeat	range_FusionHeat	wtd_range_FusionHeat	std_FusionHeat	wtd_std_FusionHeat	mean_ThermalConductivity	wtd_mean_ThermalConductivity	gmean_ThermalConductivity	wtd_gmean_ThermalConductivity	entropy_ThermalConductivity	wtd_entropy_ThermalConductivity	range_ThermalConductivity	wtd_range_ThermalConductivity	std_ThermalConductivity	wtd_std_ThermalConductivity	mean_Valence	wtd_mean_Valence	gmean_Valence	wtd_gmean_Valence	entropy_Valence	wtd_entropy_Valence	range_Valence	wtd_range_Valence	std_Valence	wtd_std_Valence	LABEL
352	3	46.623266666666666	54.830999999999996	37.67080200835665	50.189497163258416	0.9326947240202546	0.8006549711614128	60.914899999999996	26.744533333333333	25.055160677238174	19.887078789617252	1000.0666666666666	833.088888888889	952.5805904636538	803.2100549440338	1.0509918254471695	1.0435220993695495	751.4	205.80000000000004	309.0442722689133	294.3593180929528	113.66666666666667	139.22222222222223	102.96658984886079	131.95670399103406	1.0090942486615353	0.7541126167496123	115.0	88.77777777777777	46.949145063805176	46.85833654435146	3946.083666666667	5303.583444444445	352.43191876664974	2327.046116367396	0.6936235692120309	0.6536777233534159	6108.749	3394.3054444444447	2793.7967983851095	2321.1434733609367	45.199999999999996	54.88888888888889	30.230666333620107	46.91894846432693	0.8389379205975755	0.7569605117523921	71.0	27.333333333333336	29.236050804899534	23.172205572864904	16.953333333333333	21.939999999999998	6.103407573850158	15.34387726311906	0.725655139540971	0.6928866682992586	27.34	12.626666666666669	11.902563682762729	9.38514665723332	27.00861	33.89175888888889	3.4209918124763323	16.535867648995733	0.6680512965555886	0.6938328190223912	49.97417	17.21935222222222	20.596161655290693	16.30793409351275	4.333333333333333	4.777777777777778	4.217163326508746	4.724111541845926	1.0733942812811266	0.8684446388507137	2.0	2.444444444444444	0.9428090415820634	0.7698003589195012	0
353	2	60.49594	68.59855	51.08152440452419	59.32111037624156	0.54183385079901	0.428786838660888	64.82088	47.534425	32.41044	32.41044	719.3	702.5	716.154068619316	699.5735769861083	0.6887767729611103	0.6802402578624601	134.39999999999998	112.625	67.19999999999999	67.19999999999997	154.5	165.375	148.24978920727003	159.37194062917516	0.6529700004473018	0.5641958316426676	87.0	82.125	43.5	43.5	5450.0	6230.0	4468.568003286956	5258.616310076104	0.518897878049698	0.4054148652840949	6240.0	4482.5	3120.0	3120.0	109.85	103.9125	107.25185313084337	101.52065040553414	0.6695895373890155	0.6925088292256504	47.5	3.7125000000000057	23.75	23.75	38.5	35.575	36.67914939035528	33.91158901140872	0.6462323708709015	0.6914451674283781	23.400000000000002	2.075000000000003	11.700000000000001	11.700000000000001	102.0	90.0	90.0	79.2100563114054	0.5779217946828968	0.6615632381579819	96.0	22.5	48.0	48.0	4.5	4.625	4.472135954999579	4.598632978267703	0.6869615765973234	0.6300861445587913	1.0	1.625	0.5	0.5	0
354	2	104.51669	123.62448749999999	71.2882296297222	89.98119302409525	0.3945896285402544	0.29127511749642465	152.86238	102.5603625	76.43119	76.43119	773.75	770.5625	773.6449444027926	770.4641454936728	0.6930114090319781	0.6653972663492941	25.5	180.6875	12.75	12.75	155.5	166.625	148.99664425751337	160.37617982689872	0.6516214470497279	0.5621290094918183	89.0	83.375	44.5	44.5	9490.0	11280.0	6228.523099419322	7964.203876280415	0.3723898412873525	0.2725218146136824	14320.0	9532.5	7160.0	7160.0	82.3	69.475	64.35526396496253	53.614033386267735	0.4838001945471032	0.5918898360011674	102.6	30.724999999999994	51.3	51.3	43.1	41.325	42.51117500140403	40.78053856056416	0.6795166263396744	0.6891877490459488	14.200000000000003	3.674999999999997	7.100000000000001	7.100000000000001	103.5	91.875	92.46621004453468	81.93246232262878	0.588519680313641	0.6677333174161975	93.0	20.625	46.5	46.5	4.5	4.625	4.472135954999579	4.598632978267703	0.6869615765973234	0.6300861445587913	1.0	1.625	0.5	0.5	0
355	2	61.78574999999999	59.074687499999996	60.82664831305437	58.188658787834505	0.6776645683401312	0.6901095433795736	21.688499999999998	4.602187499999999	10.844249999999999	10.844249999999997	706.45	692.5625	704.2625930716468	690.5252026014019	0.6900524439139044	0.6777902362666491	111.10000000000002	121.0625	55.55000000000001	55.550000000000026	148.0	153.75	146.2019151721346	152.04208755112302	0.6810226795783088	0.6149409803340777	46.0	60.0	23.0	23.0	5716.5	5814.875	5702.940469617402	5802.089600176933	0.6907761205127865	0.6431865583738083	787.0	1822.625	393.5	393.5	84.8	76.25	77.59768037770202	69.73072546544006	0.609458964862997	0.6785422116863835	68.4	13.0	34.199999999999996	34.199999999999996	27.3	26.175	26.92656680678025	25.82970519194078	0.6794996659908596	0.6891970171493922	9.0	2.3249999999999993	4.5	4.5	45.5	41.875	43.12771730569565	39.710721477424755	0.6414718463809645	0.6903600056079885	29.0	3.125	14.5	14.5	4.5	4.625	4.472135954999579	4.598632978267703	0.6869615765973234	0.6300861445587913	1.0	1.625	0.5	0.5	0
356	2	149.212	134.71499999999997	137.4831364204352	124.08359033753082	0.6156052276988653	0.6813121724793882	115.97599999999998	20.684999999999988	57.98799999999999	57.98799999999999	677.85	668.4125	676.798020091667	667.4308341839137	0.6915956460930874	0.6736046546181198	75.5	131.71249999999998	37.75	37.75	180.0	186.5	178.1123241103771	184.70867079604204	0.6826784993880652	0.6188215184713769	52.0	71.0	26.0	26.0	8925.5	8321.875	8592.714355778391	8016.959784509875	0.6560975718097966	0.6929050453433094	4829.0	183.125	2414.5	2414.5	38.1	38.85	37.98170612281654	38.73836682912641	0.6900439630429831	0.6402383797246954	6.0	12.524999999999999	3.0	3.0	12.885	14.91375	10.008496390567368	12.045683595405404	0.47903783620614115	0.36680473685340187	16.23	11.33625	8.115	8.115	29.0	27.5	28.372521918222205	26.921881860932785	0.671588715399869	0.6921137666782082	12.0	1.25	6.0	6.0	4.0	4.0	4.0	3.9999999999999996	0.6931471805599453	0.6615632381579821	0.0	1.0	0.0	0.0	0
357	3	129.72142666666667	166.37664444444442	82.25260541294188	141.00990488645783	0.8356758876921113	0.720400866237432	176.2176	98.74888888888889	80.545112735138	64.78214518550365	984.9666666666667	862.0999999999999	958.2449676674241	848.7316572505591	1.0704845709968631	1.0169632251134495	552.9000000000001	276.7888888888889	237.61047021449954	208.71471225361933	142.66666666666666	176.44444444444446	119.99999999999997	164.78287705337178	0.9651667586812736	0.7637947080116096	152.0	105.77777777777779	67.43556595414289	57.32816514173918	13083.809666666666	16783.49211111111	813.1767792304628	6513.6649423873705	0.681996333238378	0.6880194051062748	22598.571	9249.841222222221	9564.243755804928	7501.191659078462	107.66666666666667	83.22222222222221	87.06680032790966	62.18162210096007	0.9422405484814342	0.9444997705537757	120.0	34.666666666666664	54.365021434333634	63.362566352814454	20.740666666666666	28.691333333333333	5.92301648073736	18.35028593341595	0.701325708021893	0.6192231145022776	35.778	19.97533333333333	15.072309297368985	13.6146722815253	69.00886	81.66962000000001	6.102489353951564	33.55832972819834	0.5897229269042057	0.6681151787015066	149.97342	49.99704666666667	61.81243788267213	52.87124068274547	4.333333333333333	5.0	3.9148676411688634	4.798971784378249	1.0123308391031736	0.8314428981046336	4.0	2.5555555555555554	1.699673171197595	1.3333333333333335	0
358	3	26.4573462	26.057254825	26.40876947298747	25.99632522851867	1.096794481787051	0.9865165718299023	3.7805	8.779807675	1.5872677397892099	1.8288592318778543	700.5666666666666	735.975	694.560636247508	732.859822240517	1.0902671423342463	0.9404104544755545	209.0	296.6625	89.27266596718667	73.15613060054811	124.66666666666667	128.875	123.83906454400918	127.83958998487867	1.0918359292765618	0.9367243143720463	34.0	57.75	14.65908895153068	16.802364251629722	2256.0	2080.25	2219.5068298227893	2049.763837694429	1.0828163895561271	1.0240536932817024	962.0	536.25	396.20533397048894	401.0704426905578	58.699999999999996	55.412499999999994	0.0	0.0	0.5526197718318547	0.3159166872165632	133.6	50.099999999999994	55.73191784486397	62.12409959106048	23.2	24.512500000000003	16.718690155549034	17.22647794472891	0.7834761665188724	0.6682669219439962	41.5	17.487500000000004	19.109334542748126	19.950720538366532	181.66666666666666	165.625	178.002609059935	163.86179058294636	1.0776193719554863	1.0250140471492124	85.0	50.625	37.932688922470135	31.08567908932414	3.0	2.875	2.8844991406148166	2.728523203642732	1.0608569471580214	0.9724399117161489	2.0	1.125	0.816496580927726	0.9354143466934853	0
359	3	19.777166666666666	23.552187500000002	16.795770945063182	21.938472114144286	0.9706351993035995	0.8229161177687692	21.1445	11.284875	9.206824500819428	7.532077085750945	681.4666666666667	728.8125	670.784398168558	723.3495370078448	1.0835655147464283	0.9263768465335747	266.29999999999995	303.82500000000005	115.75999116946906	94.70460140762843	141.0	135.0	139.03873806007482	133.51180798496944	1.0849863358541965	0.9852971387381213	56.0	51.625	23.03620339089466	20.73644135332772	1534.3333333333333	1809.625	1293.9569424775555	1674.278032946495	0.9625348615235181	0.8256719776313315	1795.0	806.875	746.8227515429764	618.8541719267239	64.39999999999999	57.55	0.0	0.0	0.6178860299670834	0.38534489022147156	133.6	50.099999999999994	54.64747630647427	62.22780728902473	20.633333333333336	23.550000000000004	10.942454299756697	14.694799915043543	0.5923909142709264	0.5569039034371049	47.2	18.450000000000003	21.0358952480965	20.925808095374585	131.66666666666666	146.875	126.82651410769996	144.30174375835549	1.0643326981833305	0.8884903185680291	75.0	69.375	33.2498955721	28.27813250159526	2.3333333333333335	2.625	2.0	2.378414230005442	0.9556998911125343	0.8324075743474855	3.0	1.375	1.247219128924647	1.1486707293408518	0
360	3	25.126756426666663	25.55828366	25.036337615162914	25.481233600063508	1.094965573086751	0.964527007485563	5.095730719999999	9.27877884	2.159950711052439	2.047264612913849	673.3333333333334	725.7625	660.1282889508262	719.0187730554533	1.0799065124572298	0.9200226995795959	290.7	306.875	127.10605370669364	103.98944591212663	148.66666666666666	137.875	145.14927156565653	135.682650355436	1.0749404347394704	1.0025230873156514	79.0	48.75	32.355662392986005	27.428442253333387	1678.6666666666667	1863.75	1576.7409615852896	1803.0915416774196	1.0407495088472456	0.8884460158520326	1362.0	752.75	557.6147614816364	473.2644902987945	62.133333333333326	56.699999999999996	0.0	0.0	0.5960076396286096	0.35969463068143576	133.6	50.099999999999994	54.939805443978614	62.10049203598238	20.5	23.500000000000004	10.432749329070617	14.434282098258095	0.5761234443971595	0.5491340452176157	47.6	18.500000000000004	21.148207173816573	20.987019797960834	150.0	153.75	149.7774477443701	153.589037193636	1.0971297078373583	0.9551507619634987	20.0	62.5	8.16496580927726	7.905694150420948	2.3333333333333335	2.625	2.0	2.378414230005442	0.9556998911125343	0.8324075743474855	3.0	1.375	1.247219128924647	1.1486707293408518	0
361	3	46.67016666666667	33.6370625	39.107526181769146	30.119934894534016	0.9195414993465865	1.0967553917825992	63.315000000000005	1.6204374999999995	28.99700769140767	24.27411449330393	691.2333333333332	732.475	683.1489456450416	728.3210739484024	1.08730363884231	0.9337027384670864	237.0	300.1625	102.18158129308607	83.63025436075425	158.33333333333334	141.5	152.18728357525782	138.11334145161348	1.058912795978923	1.0203680626087368	108.0	45.125	45.087569117095775	37.27078092971908	2232.6666666666665	2071.5	2200.1577159659482	2043.04449437153	1.0844464698052538	1.0206508681232038	892.0	545.0	370.60431130189994	381.62081238376453	46.21	50.72874999999999	0.0	0.0	0.15594789605492548	0.06673480494076986	133.6	50.099999999999994	61.828172111640704	64.37030089645378	22.3	24.175000000000004	15.174148115605764	16.611535116086355	0.7347326443104296	0.6351582506123374	42.2	17.825000000000003	19.730348873414954	20.247098557571157	115.0	140.625	94.35387960633061	129.15247079839793	0.9506160497734463	0.7953710015163222	125.0	75.625	56.71566509057852	47.66418991234405	2.6666666666666665	2.75	2.519842099789746	2.5936791093020193	1.0397207708399179	0.9164648855394713	2.0	1.25	0.9428090415820634	0.97182531580755	0
362	3	63.23916666666667	43.77208333333334	45.4267052817767	33.22794113202896	0.7799733846389618	0.9459681470852395	113.02199999999999	18.206916666666665	52.41073891919055	46.16684355727242	675.6999999999999	706.7000000000002	663.2644423183128	699.4928013197983	1.0810252337915012	0.8176523625811402	283.6	407.98333333333335	123.8015616487396	97.90512414237236	169.66666666666666	157.33333333333334	159.68734517060727	152.16657007942987	1.0372971606669963	0.9038743726632958	142.0	78.16666666666666	60.53832578531462	46.22409184253019	2526.0	2132.0000000000005	2422.353957974112	2051.840924379616	1.056822441171719	0.9964264748967073	1772.0	770.3333333333333	736.5722413087983	762.719695126154	49.18333333333333	24.59166666666667	0.0	0.0	0.31292729099498073	0.31292729099498073	133.6	22.266666666666666	59.962659677132024	54.83849393142253	22.3	15.500000000000002	15.174148115605764	11.489781921593208	0.7347326443104296	0.9116729153723815	42.2	7.033333333333334	19.730348873414954	16.944714023356468	109.33333333333333	134.66666666666669	75.59526299369242	109.97837095988818	0.8672520346220046	0.5819857978491294	142.0	103.66666666666666	64.71132478597201	58.11482885919336	2.6666666666666665	2.3333333333333335	2.519842099789746	2.244924096618746	1.0397207708399179	0.9556998911125343	2.0	1.0	0.9428090415820634	0.8164965809277259	0
